,text,tokens,stopWordsRemovedTokens,rawFeatures,features,topicDistribution
737,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"['new', 'immigration', 'rules', 'so', '#americans', 'can', '#work', 'in', '#canada.', '#recruitment', '@globalnews']","['new', 'immigration', 'rules', '#americans', '#work', '#canada.', '#recruitment', '@globalnews']","(2000,[25,234,961,987,1319,1448,1780,1792],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[25,234,961,987,1319,1448,1780,1792],[3.27232365931,4.15962685431,4.56509196242,5.0069247147,4.56509196242,1.19043413599,3.80295191037,4.49609909093])","[0.672719395696,0.327280604304]"
738,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"['new', 'immigration', 'rules', 'so', '#americans', 'can', '#work', 'in', '#canada.', '#recruitment', '@globalnews']","['new', 'immigration', 'rules', '#americans', '#work', '#canada.', '#recruitment', '@globalnews']","(2000,[25,234,961,987,1319,1448,1780,1792],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[25,234,961,987,1319,1448,1780,1792],[3.27232365931,4.15962685431,4.56509196242,5.0069247147,4.56509196242,1.19043413599,3.80295191037,4.49609909093])","[0.672719424387,0.327280575613]"
739,Moving short on #SyrianRefugee crisis &amp; timely segue to our #immigration program ,"['moving', 'short', 'on', '#syrianrefugee', 'crisis', '&amp;', 'timely', 'segue', 'to', 'our', '#immigration', 'program']","['moving', 'short', '#syrianrefugee', 'crisis', '&amp;', 'timely', 'segue', '#immigration', 'program']","(2000,[61,392,513,558,644,964,1144,1317,1758],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[61,392,513,558,644,964,1144,1317,1758],[3.02976202214,0.0,5.25823914298,3.25290557345,4.63919993457,0.0,3.90831242603,3.46647967375,0.0])","[0.508292270581,0.491707729419]"
740,Many international #students are looking at #Canada for university. Find out why | Blog ,"['many', 'international', '#students', 'are', 'looking', 'at', '#canada', 'for', 'university.', 'find', 'out', 'why', '|', 'blog']","['many', 'international', '#students', 'looking', '#canada', 'university.', 'find', '|', 'blog']","(2000,[104,145,315,459,591,642,694,1188,1510],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[104,145,315,459,591,642,694,1188,1510],[5.41238982281,5.0069247147,4.63919993457,0.0,5.12470775036,2.99945667264,4.20841701848,4.56509196242,4.80625401924])","[0.573020224014,0.426979775986]"
741,U.S. justices divided over immigration detention dispute ,"['u.s.', 'justices', 'divided', 'over', 'immigration', 'detention', 'dispute']","['u.s.', 'justices', 'divided', 'immigration', 'detention', 'dispute']","(2000,[259,475,767,1448,1550,1721],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[259,475,767,1448,1550,1721],[5.25823914298,5.41238982281,0.0,1.19043413599,0.0,3.56656313231])","[0.498358609158,0.501641390842]"
742,#Manitoba to revamp #Immigration programme. #Canada ,"['#manitoba', 'to', 'revamp', '#immigration', 'programme.', '#canada']","['#manitoba', 'revamp', '#immigration', 'programme.', '#canada']","(2000,[61,230,514,642,1365],[1.0,1.0,1.0,1.0,1.0])","(2000,[61,230,514,642,1365],[3.02976202214,4.49609909093,5.41238982281,2.99945667264,5.25823914298])","[0.516237046225,0.483762953775]"
743,Class action lawsuit filed over failed Chinese immigrants ,"['class', 'action', 'lawsuit', 'filed', 'over', 'failed', 'chinese', 'immigrants']","['class', 'action', 'lawsuit', 'filed', 'failed', 'chinese', 'immigrants']","(2000,[238,468,534,1098,1439,1840,1935],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[238,468,534,1098,1439,1840,1935],[4.80625401924,2.99945667264,4.71924264225,4.49609909093,5.0069247147,4.63919993457,5.0069247147])","[0.324406013331,0.675593986669]"
744,Class action lawsuit filed over failed Chinese immigrants ,"['class', 'action', 'lawsuit', 'filed', 'over', 'failed', 'chinese', 'immigrants']","['class', 'action', 'lawsuit', 'filed', 'failed', 'chinese', 'immigrants']","(2000,[238,468,534,1098,1439,1840,1935],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[238,468,534,1098,1439,1840,1935],[4.80625401924,2.99945667264,4.71924264225,4.49609909093,5.0069247147,4.63919993457,5.0069247147])","[0.324406050513,0.675593949487]"
745,"We cannot stress enough to our clients, ALWAYS TELL THE TRUTH AND NEVER MISREPRESENT! Be careful with who you choose??_","['we', 'cannot', 'stress', 'enough', 'to', 'our', 'clients,', 'always', 'tell', 'the', 'truth', 'and', 'never', 'misrepresent!', 'be', 'careful', 'with', 'who', 'you', 'choose??_']","['stress', 'enough', 'clients,', 'always', 'tell', 'truth', 'never', 'misrepresent!', 'careful', 'choose??_']","(2000,[126,514,606,900,1013,1637,1649,1847,1850,1880],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[126,514,606,900,1013,1637,1649,1847,1850,1880],[5.12470775036,5.41238982281,5.12470775036,5.12470775036,5.25823914298,5.41238982281,0.0,0.0,4.56509196242,3.83685346205])","[0.491955996973,0.508044003027]"
746,"Officially official. ??????_?_?__no more Canada jokes, sorry buds. _???????? @ Us Immigration Naturalization ","['officially', 'official.', '??????_?_?__no', 'more', 'canada', 'jokes,', 'sorry', 'buds.', '_????????', '@', 'us', 'immigration', 'naturalization']","['officially', 'official.', '??????_?_?__no', 'canada', 'jokes,', 'sorry', 'buds.', '_????????', '@', 'us', 'immigration', 'naturalization']","(2000,[208,249,278,399,498,520,872,896,1448,1488,1890,1933],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[208,249,278,399,498,520,872,896,1448,1488,1890,1933],[3.87194478186,0.0,5.41238982281,0.0,4.80625401924,0.0,0.0,0.0,1.19043413599,1.22779838274,5.41238982281,0.0])","[0.414923661765,0.585076338235]"
747,"Canada detains hundreds of children for immigration violations, report finds #cdnimm ","['canada', 'detains', 'hundreds', 'of', 'children', 'for', 'immigration', 'violations,', 'report', 'finds', '#cdnimm']","['canada', 'detains', 'hundreds', 'children', 'immigration', 'violations,', 'report', 'finds', '#cdnimm']","(2000,[158,203,361,633,650,1156,1448,1462,1488],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[158,203,361,633,650,1156,1448,1462,1488],[5.25823914298,4.31377753414,4.56509196242,5.0069247147,0.0,4.90156419904,1.19043413599,2.57917647875,1.22779838274])","[0.59128089002,0.40871910998]"
748,"@Alyssa_Milano @JustinTrudeau Then go! Go to Canada! Oh that's right you can't, their immigration laws are too strict.","['@alyssa_milano', '@justintrudeau', 'then', 'go!', 'go', 'to', 'canada!', 'oh', ""that's"", 'right', 'you', ""can't,"", 'their', 'immigration', 'laws', 'are', 'too', 'strict.']","['@alyssa_milano', '@justintrudeau', 'go!', 'go', 'canada!', 'oh', 'right', ""can't,"", 'immigration', 'laws', 'strict.']","(2000,[77,574,629,938,945,1016,1031,1279,1378,1448,1625],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[77,574,629,938,945,1016,1031,1279,1378,1448,1625],[4.02609546169,4.31377753414,0.0,4.63919993457,5.0069247147,0.0,0.0,4.11310683868,3.87194478186,1.19043413599,0.0])","[0.414262349947,0.585737650053]"
749,@realDonaldTrump @HonJohnMcCallum how to tweet like a real leader about islamic terrorism. Canada has bad immigration policies. #weakleaders,"['@realdonaldtrump', '@honjohnmccallum', 'how', 'to', 'tweet', 'like', 'a', 'real', 'leader', 'about', 'islamic', 'terrorism.', 'canada', 'has', 'bad', 'immigration', 'policies.', '#weakleaders']","['@realdonaldtrump', '@honjohnmccallum', 'tweet', 'like', 'real', 'leader', 'islamic', 'terrorism.', 'canada', 'bad', 'immigration', 'policies.', '#weakleaders']","(2000,[397,413,1014,1086,1330,1366,1448,1488,1691,1714,1762,1858,1971],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[397,413,1014,1086,1330,1366,1448,1488,1691,1714,1762,1858,1971],[5.41238982281,0.0,0.0,0.0,3.59323137939,5.12470775036,1.19043413599,1.22779838274,5.25823914298,5.41238982281,5.25823914298,5.0069247147,0.0])","[0.59427449073,0.40572550927]"
750,[#WEBCONFERENCE] Comprendre les programmes d'immigration le 5 d?cembre ?? 13h (heure de Paris). Inscription:??_ ,"['[#webconference]', 'comprendre', 'les', 'programmes', ""d'immigration"", 'le', '5', 'd?cembre', '??', '13h', '(heure', 'de', 'paris).', 'inscription:??_']","['[#webconference]', 'comprendre', 'les', 'programmes', ""d'immigration"", 'le', '5', 'd?cembre', '??', '13h', '(heure', 'de', 'paris).', 'inscription:??_']","(2000,[341,711,772,863,872,960,1181,1281,1420,1426,1836,1849,1970,1981],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[341,711,772,863,872,960,1181,1281,1420,1426,1836,1849,1970,1981],[5.25823914298,5.41238982281,4.63919993457,4.31377753414,0.0,5.41238982281,5.25823914298,3.70764173057,4.63919993457,0.0,0.0,4.11310683868,5.0069247147,4.63919993457])","[0.289598943174,0.710401056826]"
751,Even short-term #immigrationdetention has a long-lasting negative impact on #children ,"['even', 'short-term', '#immigrationdetention', 'has', 'a', 'long-lasting', 'negative', 'impact', 'on', '#children']","['even', 'short-term', '#immigrationdetention', 'long-lasting', 'negative', 'impact', '#children']","(2000,[202,246,406,677,1320,1361,1874],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[202,246,406,677,1320,1361,1874],[4.49609909093,3.51526983792,4.63919993457,5.25823914298,5.0069247147,0.0,4.49609909093])","[0.568288971356,0.431711028644]"
752,"""@KyraSpears It's cute that they think #Canada wants them. One of the toughest immigration law countries. """"Traitor brat"""" not relevant.""","['""@kyraspears', ""it's"", 'cute', 'that', 'they', 'think', '#canada', 'wants', 'them.', 'one', 'of', 'the', 'toughest', 'immigration', 'law', 'countries.', '""""traitor', 'brat""""', 'not', 'relevant.""']","['""@kyraspears', 'cute', 'think', '#canada', 'wants', 'them.', 'one', 'toughest', 'immigration', 'law', 'countries.', '""""traitor', 'brat""""', 'relevant.""']","(2000,[44,62,349,422,578,642,795,922,1056,1219,1267,1448,1564,1571],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[44,62,349,422,578,642,795,922,1056,1219,1267,1448,1564,1571],[3.37550789555,5.12470775036,0.0,3.94605275401,0.0,2.99945667264,5.25823914298,5.25823914298,0.0,4.90156419904,0.0,1.19043413599,4.63919993457,5.12470775036])","[0.456722402769,0.543277597231]"
753,What changes to Canada's Express Entry immigration system mean for you: ,"['what', 'changes', 'to', ""canada's"", 'express', 'entry', 'immigration', 'system', 'mean', 'for', 'you:']","['changes', ""canada's"", 'express', 'entry', 'immigration', 'system', 'mean', 'you:']","(2000,[637,754,909,1139,1363,1448,1639,1887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[637,754,909,1139,1363,1448,1639,1887],[0.0,3.44294917634,5.12470775036,3.83685346205,3.80295191037,1.19043413599,4.37093594798,3.64880123055])","[0.60160847684,0.39839152316]"
754,Mon dossier est trait? depuis 6 mois ?? Canada Immigration mais je ne re?_ois pas mon visa de RP car il y a des quotas!!,"['mon', 'dossier', 'est', 'trait?', 'depuis', '6', 'mois', '??', 'canada', 'immigration', 'mais', 'je', 'ne', 're?_ois', 'pas', 'mon', 'visa', 'de', 'rp', 'car', 'il', 'y', 'a', 'des', 'quotas!!']","['mon', 'dossier', 'est', 'trait?', 'depuis', '6', 'mois', '??', 'canada', 'immigration', 'mais', 'je', 'ne', 're?_ois', 'pas', 'mon', 'visa', 'de', 'rp', 'car', 'il', 'y', 'des', 'quotas!!']","(2000,[115,118,315,435,446,561,579,605,613,675,778,863,1039,1136,1143,1281,1372,1410,1448,1488,1651,1790,1983],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[115,118,315,435,446,561,579,605,613,675,778,863,1039,1136,1143,1281,1372,1410,1448,1488,1651,1790,1983],[0.0,4.4315605698,4.63919993457,4.80625401924,5.12470775036,0.0,4.71924264225,5.41238982281,4.90156419904,4.80625401924,2.76149803555,4.31377753414,0.0,0.0,5.41238982281,3.70764173057,2.79743004477,5.12470775036,1.19043413599,1.22779838274,0.0,4.90156419904,5.41238982281])","[0.612815133235,0.387184866765]"
755,New immigration rules make it easier for Americans to work and stay in #Canada: ,"['new', 'immigration', 'rules', 'make', 'it', 'easier', 'for', 'americans', 'to', 'work', 'and', 'stay', 'in', '#canada:']","['new', 'immigration', 'rules', 'make', 'easier', 'americans', 'work', 'stay', '#canada:']","(2000,[18,25,433,1078,1448,1474,1525,1527,1780],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[18,25,433,1078,1448,1474,1525,1527,1780],[4.80625401924,3.27232365931,3.56656313231,5.12470775036,1.19043413599,5.0069247147,4.02609546169,4.71924264225,3.80295191037])","[0.42402296768,0.57597703232]"
756,New immigration rules make it easier for Americans to work and stay in #Canada: ,"['new', 'immigration', 'rules', 'make', 'it', 'easier', 'for', 'americans', 'to', 'work', 'and', 'stay', 'in', '#canada:']","['new', 'immigration', 'rules', 'make', 'easier', 'americans', 'work', 'stay', '#canada:']","(2000,[18,25,433,1078,1448,1474,1525,1527,1780],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[18,25,433,1078,1448,1474,1525,1527,1780],[4.80625401924,3.27232365931,3.56656313231,5.12470775036,1.19043413599,5.0069247147,4.02609546169,4.71924264225,3.80295191037])","[0.424017688333,0.575982311667]"
757,What the Changes to Canada??s Express Entry Immigration System Mean for You - ,"['what', 'the', 'changes', 'to', 'canada??s', 'express', 'entry', 'immigration', 'system', 'mean', 'for', 'you', '-']","['changes', 'canada??s', 'express', 'entry', 'immigration', 'system', 'mean', '-']","(2000,[121,909,1139,1363,1448,1499,1639,1887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[121,909,1139,1363,1448,1499,1639,1887],[3.54058764591,5.12470775036,3.83685346205,3.80295191037,1.19043413599,2.40835874644,4.37093594798,3.64880123055])","[0.583342272486,0.416657727514]"
758,???_?_?? ???? ???_?_???_ ?_?????????? ?_???? ???????_ (???? ???_ ?_??_ ?_???_?? ???_??????? ????? ???? ????????_) interm?diaires en immigration ,"['???_?_??', '????', '???_?_???_', '?_??????????', '?_????', '???????_', '(????', '???_', '?_??_', '?_???_??', '???_???????', '???\x99?', '????', '????????_)', 'interm?diaires', 'en', 'immigration']","['???_?_??', '????', '???_?_???_', '?_??????????', '?_????', '???????_', '(????', '???_', '?_??_', '?_???_??', '???_???????', '???\x99?', '????', '????????_)', 'interm?diaires', 'en', 'immigration']","(2000,[11,198,604,726,806,851,904,1003,1147,1211,1282,1391,1439,1448,1472,1806],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[11,198,604,726,806,851,904,1003,1147,1211,1282,1391,1439,1448,1472,1806],[0.0,5.25823914298,4.90156419904,5.41238982281,0.0,5.25823914298,4.90156419904,3.41995965812,0.0,0.0,5.12470775036,0.0,5.0069247147,1.19043413599,5.0069247147,0.0])","[0.295726098977,0.704273901023]"
759,"@Lrihendry @DclareDiane Like I said, he should have stuck to boxing. Canada USED to have very strict immigration laws. Steer them to #Syria","['@lrihendry', '@dclarediane', 'like', 'i', 'said,', 'he', 'should', 'have', 'stuck', 'to', 'boxing.', 'canada', 'used', 'to', 'have', 'very', 'strict', 'immigration', 'laws.', 'steer', 'them', 'to', '#syria']","['@lrihendry', '@dclarediane', 'like', 'said,', 'stuck', 'boxing.', 'canada', 'used', 'strict', 'immigration', 'laws.', 'steer', '#syria']","(2000,[158,605,609,716,968,1330,1356,1448,1488,1521,1605,1623,1840],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[158,605,609,716,968,1330,1356,1448,1488,1521,1605,1623,1840],[5.25823914298,5.41238982281,5.0069247147,3.44294917634,0.0,3.59323137939,4.90156419904,1.19043413599,1.22779838274,0.0,4.37093594798,0.0,4.63919993457])","[0.605188376747,0.394811623253]"
760,"""#NB: """"#WilmotHouse remains first stop for #newcomers to #Fredericton"""" @CBCNB ","['""#nb:', '""""#wilmothouse', 'remains', 'first', 'stop', 'for', '#newcomers', 'to', '#fredericton""""', '@cbcnb']","['""#nb:', '""""#wilmothouse', 'remains', 'first', 'stop', '#newcomers', '#fredericton""""', '@cbcnb']","(2000,[156,373,735,796,1091,1158,1183,1584],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[156,373,735,796,1091,1158,1183,1584],[5.25823914298,4.80625401924,0.0,5.41238982281,5.25823914298,4.56509196242,5.12470775036,0.0])","[0.63287352427,0.36712647573]"
761,Now more than ever we should try to learn from one of few high immigration countries that does not have strong radi??_ ,"['now', 'more', 'than', 'ever', 'we', 'should', 'try', 'to', 'learn', 'from', 'one', 'of', 'few', 'high', 'immigration', 'countries', 'that', 'does', 'not', 'have', 'strong', 'radi??_']","['ever', 'try', 'learn', 'one', 'high', 'immigration', 'countries', 'strong', 'radi??_']","(2000,[44,116,159,312,1003,1448,1594,1775,1951],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[44,116,159,312,1003,1448,1594,1775,1951],[3.37550789555,5.25823914298,4.80625401924,4.71924264225,3.41995965812,1.19043413599,4.80625401924,5.25823914298,5.25823914298])","[0.570709089682,0.429290910318]"
762,@althered68 @KelemenCari @artist35 @JackPosobiec Does Canada have the same plan on immigration as Joe Biden?,"['@althered68', '@kelemencari', '@artist35', '@jackposobiec', 'does', 'canada', 'have', 'the', 'same', 'plan', 'on', 'immigration', 'as', 'joe', 'biden?']","['@althered68', '@kelemencari', '@artist35', '@jackposobiec', 'canada', 'plan', 'immigration', 'joe', 'biden?']","(2000,[123,174,208,569,1170,1448,1488,1528,1671],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[123,174,208,569,1170,1448,1488,1528,1671],[4.90156419904,0.0,3.87194478186,5.41238982281,4.37093594798,1.19043413599,1.22779838274,3.56656313231,0.0])","[0.438131033723,0.561868966277]"
763,Canada is going to Increase Immigration Quotas,"['canada', 'is', 'going', 'to', 'increase', 'immigration', 'quotas']","['canada', 'going', 'increase', 'immigration', 'quotas']","(2000,[493,1342,1448,1488,1963],[1.0,1.0,1.0,1.0,1.0])","(2000,[493,1342,1448,1488,1963],[4.63919993457,0.0,1.19043413599,1.22779838274,4.80625401924])","[0.434425564038,0.565574435962]"
764,"""Discussing the scourge of """"ghost consultants"""" on @1067REDFM with host @RishiKNagar at 10 this morning: ","['""discussing', 'the', 'scourge', 'of', '""""ghost', 'consultants""""', 'on', '@1067redfm', 'with', 'host', '@rishiknagar', 'at', '10', 'this', 'morning:']","['""discussing', 'scourge', '""""ghost', 'consultants""""', '@1067redfm', 'host', '@rishiknagar', '10', 'morning:']","(2000,[9,792,806,1049,1102,1220,1388,1524,1955],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[9,792,806,1049,1102,1220,1388,1524,1955],[3.62063035358,2.83470143957,0.0,0.0,0.0,5.12470775036,0.0,5.25823914298,4.80625401924])","[0.443014392948,0.556985607052]"
765,@GatorsEite23 @TheDemocrats I think they're mad that Canada's immigration server didn't even want them and their leader is still bitching.,"['@gatorseite23', '@thedemocrats', 'i', 'think', ""they're"", 'mad', 'that', ""canada's"", 'immigration', 'server', ""didn't"", 'even', 'want', 'them', 'and', 'their', 'leader', 'is', 'still', 'bitching.']","['@gatorseite23', '@thedemocrats', 'think', 'mad', ""canada's"", 'immigration', 'server', 'even', 'want', 'leader', 'still', 'bitching.']","(2000,[406,411,598,653,754,919,1448,1564,1603,1712,1714,1800],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[406,411,598,653,754,919,1448,1564,1603,1712,1714,1800],[4.63919993457,5.41238982281,3.87194478186,5.0069247147,3.44294917634,0.0,1.19043413599,4.63919993457,5.25823914298,4.25971031287,5.41238982281,4.02609546169])","[0.63695984714,0.36304015286]"
766,"@patricionavia @DeliaDG se hace esto en Chile? Claramente, no! ","['@patricionavia', '@deliadg', 'se', 'hace', 'esto', 'en', 'chile?', 'claramente,', 'no!']","['@patricionavia', '@deliadg', 'se', 'hace', 'esto', 'en', 'chile?', 'claramente,', 'no!']","(2000,[165,222,373,780,1003,1077,1111,1647,1917],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[165,222,373,780,1003,1077,1111,1647,1917],[0.0,3.14370628149,4.80625401924,5.12470775036,3.41995965812,0.0,5.41238982281,0.0,0.0])","[0.56801742352,0.43198257648]"
767,On #Canada #Visa application: ,"['on', '#canada', '#visa', 'application:']","['#canada', '#visa', 'application:']","(2000,[642,1920,1956],[1.0,1.0,1.0])","(2000,[642,1920,1956],[2.99945667264,4.49609909093,0.0])","[0.516104310682,0.483895689318]"
768,Clients of convicted immigration consultant facing deportation for lying ,"['clients', 'of', 'convicted', 'immigration', 'consultant', 'facing', 'deportation', 'for', 'lying']","['clients', 'convicted', 'immigration', 'consultant', 'facing', 'deportation', 'lying']","(2000,[150,416,585,643,863,1448,1724],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[150,416,585,643,863,1448,1724],[3.87194478186,0.0,4.71924264225,0.0,4.31377753414,1.19043413599,4.80625401924])","[0.382045618329,0.617954381671]"
769,Want to immigrate to #Canada? Fill out our free online assessment form to learn more about your options:??_ ,"['want', 'to', 'immigrate', 'to', '#canada?', 'fill', 'out', 'our', 'free', 'online', 'assessment', 'form', 'to', 'learn', 'more', 'about', 'your', 'options:??_']","['want', 'immigrate', '#canada?', 'fill', 'free', 'online', 'assessment', 'form', 'learn', 'options:??_']","(2000,[0,290,690,994,1073,1358,1621,1712,1727,1775],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[0,290,690,994,1073,1358,1621,1712,1727,1775],[4.31377753414,5.41238982281,5.0069247147,0.0,5.41238982281,5.12470775036,3.33294828113,4.25971031287,5.25823914298,5.25823914298])","[0.579895872521,0.420104127479]"
770,Savez-vous ?? propos de l'Autorisation de voyage ?lectronique? Elle est n?cessaire pour certains visiteurs au Canada. ,"['savez-vous', '??', 'propos', 'de', ""l'autorisation"", 'de', 'voyage', '?lectronique?', 'elle', 'est', 'n?cessaire', 'pour', 'certains', 'visiteurs', 'au', 'canada.']","['savez-vous', '??', 'propos', 'de', ""l'autorisation"", 'de', 'voyage', '?lectronique?', 'elle', 'est', 'n?cessaire', 'pour', 'certains', 'visiteurs', 'au', 'canada.']","(2000,[61,246,345,379,394,797,863,1167,1281,1400,1592,1655,1678,1790,1932],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[61,246,345,379,394,797,863,1167,1281,1400,1592,1655,1678,1790,1932],[3.02976202214,3.51526983792,0.0,0.0,3.62063035358,0.0,4.31377753414,0.0,7.41528346114,0.0,5.41238982281,5.41238982281,4.37093594798,4.90156419904,0.0])","[0.359806867273,0.640193132727]"
771,Big changes to #ExpressEntry syatem for residency applicants in #Canada. See details here: ,"['big', 'changes', 'to', '#expressentry', 'syatem', 'for', 'residency', 'applicants', 'in', '#canada.', 'see', 'details', 'here:']","['big', 'changes', '#expressentry', 'syatem', 'residency', 'applicants', '#canada.', 'see', 'details', 'here:']","(2000,[16,128,143,598,752,799,961,1363,1515,1851],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[16,128,143,598,752,799,961,1363,1515,1851],[5.41238982281,5.41238982281,0.0,3.87194478186,5.41238982281,4.31377753414,4.56509196242,3.80295191037,4.11310683868,0.0])","[0.539783348779,0.460216651221]"
772,Canada Should Be Trump's Model for Immigration Reform ,"['canada', 'should', 'be', ""trump's"", 'model', 'for', 'immigration', 'reform']","['canada', ""trump's"", 'model', 'immigration', 'reform']","(2000,[716,1232,1448,1488,1857],[1.0,1.0,1.0,1.0,1.0])","(2000,[716,1232,1448,1488,1857],[3.44294917634,5.41238982281,1.19043413599,1.22779838274,0.0])","[0.514549138721,0.485450861279]"
773,?_?????????? ?_???? ???????_ ???_ 6 ????????_?? ?????_?? ?????_?? ?_?????????? ?_???_???_?_ express entry ,"['?_??????????', '?_????', '???????_', '???_', '6', '????????_??', '?????_??', '?????_??', '?_??????????', '?_???_???_?_', 'express', 'entry']","['?_??????????', '?_????', '???????_', '???_', '6', '????????_??', '?????_??', '?????_??', '?_??????????', '?_???_???_?_', 'express', 'entry']","(2000,[604,675,806,831,862,1139,1472,1526,1806,1887],[1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0])","(2000,[604,675,806,831,862,1139,1472,1526,1806,1887],[4.90156419904,4.80625401924,0.0,0.0,0.0,3.83685346205,10.0138494294,8.86312113959,0.0,3.64880123055])","[0.410760681823,0.589239318177]"
774,................................,['................................'],['................................'],"(2000,[1665],[1.0])","(2000,[1665],[5.25823914298])","[0.542678494537,0.457321505463]"
775,???_???? ?_???????_???_... ,"['???_????', '?_???????_???_...']","['???_????', '?_???????_???_...']","(2000,[267,1306],[1.0,1.0])","(2000,[267,1306],[5.41238982281,0.0])","[0.454898241402,0.545101758598]"
776,@ObservatorioDmc en cualquier parte para inmigrar te exigen 1 mont?_n de requisitos poner otros adjetivos es absurdo. ,"['@observatoriodmc', 'en', 'cualquier', 'parte', 'para', 'inmigrar', 'te', 'exigen', '1', 'mont?_n', 'de', 'requisitos', 'poner', 'otros', 'adjetivos', 'es', 'absurdo.']","['@observatoriodmc', 'en', 'cualquier', 'parte', 'para', 'inmigrar', 'te', 'exigen', '1', 'mont?_n', 'de', 'requisitos', 'poner', 'otros', 'adjetivos', 'es', 'absurdo.']","(2000,[332,744,767,878,897,971,1003,1233,1269,1281,1326,1486,1589,1606,1760,1897,1931],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[332,744,767,878,897,971,1003,1233,1269,1281,1326,1486,1589,1606,1760,1897,1931],[0.0,5.0069247147,0.0,3.49057722533,4.49609909093,5.41238982281,3.41995965812,4.37093594798,4.71924264225,3.70764173057,5.12470775036,4.37093594798,4.56509196242,4.80625401924,0.0,5.25823914298,0.0])","[0.356714091039,0.643285908961]"
777,Express Entry Canada - A New Life awaits ,"['express', 'entry', 'canada', '-', 'a', 'new', 'life', 'awaits']","['express', 'entry', 'canada', '-', 'new', 'life', 'awaits']","(2000,[25,1139,1477,1488,1499,1839,1887],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[25,1139,1477,1488,1499,1839,1887],[3.27232365931,3.83685346205,4.37093594798,1.22779838274,2.40835874644,0.0,3.64880123055])","[0.582834272986,0.417165727014]"
