,text,features,prediction
972,"Headed for iPad Design Headaches (2 Tablets, Call in the Morning) #SXSW {link}","(1048576,[28533,412681,463157,503244,693303,741959,752271,766705,790010,896138],[6.97148096986,1.30643932352,4.91735723617,0.615026147212,7.48230659363,7.48230659363,2.1085725878,7.48230659363,6.63500873324,6.1830236095])",2
973,Design for iPad is like a design 101 class. Will someone give a talk and assume that we didn't all ditch our previous experience #sxsw,"(1048576,[52767,300909,369511,463157,470402,503244,520955,727481,728417,752271,843778,858557,1039966],[7.48230659363,7.19462452118,4.27685378909,9.83471447233,3.49332254706,0.615026147212,6.97148096986,6.38369430496,6.78915941307,2.1085725878,7.48230659363,4.70971787139,4.70971787139])",2
974,"My Twitter is full of people who are at #sxsw, buying the iPad 2, or doing both. At least my pity party is keeping me busy, I suppose...","(1048576,[47960,151393,235170,258670,346701,376830,403667,528648,557812,612130,627436,734237,752271,846121],[7.48230659363,5.40286505195,6.63500873324,5.36204305743,6.1830236095,4.45378449725,6.1830236095,7.48230659363,3.85353106358,4.57358569706,5.80833016006,7.48230659363,2.1085725878,7.48230659363])",2
975,&quot;Your Mom Has an iPad: Designing for Boomers&quot; is full house. Where is #RebelTV spirit?,"(1048576,[151393,410217,416420,451968,665392,703401,726948,781448,787494],[5.40286505195,6.97148096986,6.38369430496,7.48230659363,6.1830236095,7.48230659363,5.40286505195,5.08441132083,6.63500873324])",2
976,"{link} #SXSW""","(1048576,[412681,657543],[1.30643932352,5.87286868119])",2
977,"The winner of best in show for #sxsw the wilderness downtown, arcade fire, google, Sony, radical media, milk and koblin","(1048576,[140381,154822,240447,274518,327976,445190,451301,459413,480354,503244,507875,583815,728708,952459],[7.19462452118,5.63647990313,6.97148096986,7.48230659363,6.78915941307,6.63500873324,6.97148096986,6.97148096986,6.97148096986,0.615026147212,4.86734681559,7.48230659363,7.48230659363,4.57358569706])",2
978,Co Founder of Google Teacher Academy is bringing HS students from Austin to show how they use tech: {link} #SxSW #education,"(1048576,[105411,144292,160836,187800,350071,379017,412681,503244,507875,587451,774809,1018507,1020125,1039291,1039956],[6.50147734062,6.97148096986,6.97148096986,6.2783337893,6.97148096986,4.33242364025,1.30643932352,0.615026147212,4.86734681559,6.78915941307,6.97148096986,7.19462452118,6.97148096986,3.04752939357,2.0086363396])",2
979,Co Founder of Google Teacher Academy is bringing HS students from Austin to show how they use tech: {link} #SxSW #eeducation,"(1048576,[105411,144292,160836,187800,350071,379017,412681,503244,507875,587451,774809,974939,1020125,1039291,1039956],[6.50147734062,6.97148096986,6.97148096986,6.2783337893,6.97148096986,4.33242364025,1.30643932352,0.615026147212,4.86734681559,6.78915941307,6.97148096986,7.48230659363,6.97148096986,3.04752939357,2.0086363396])",2
980,One of our producers is going to #SXSW. What (hopefully free) iPhone apps should she DL?,"(1048576,[12312,56559,269206,494829,512749,567750,649660,672633,704636],[7.48230659363,2.75491877492,4.64909324957,4.18646972762,6.97148096986,6.97148096986,3.85353106358,3.40476914972,7.48230659363])",2
981,#sxsw #csr reporting: Janecek: Microsoft gives $ to charity. Apple gives nothing. Everyone in room has iPhone. What drives that decision?,"(1048576,[232382,246696,417772,426830,435973,459363,462367,503244,546137,561389,596029,648917,652589,883563,958741],[7.48230659363,7.48230659363,7.48230659363,5.53639644457,4.53786761446,14.9646131873,2.24763925416,0.615026147212,6.97148096986,5.32282234428,7.48230659363,7.48230659363,6.63500873324,7.48230659363,7.48230659363])",2
982,iPad 2 for sale (cc #SXSW #SXSWi #TheInternet),"(1048576,[503244,600274,663039,752271,887621,998485,1022388],[0.615026147212,7.48230659363,5.87286868119,2.1085725878,4.1620782745,2.8125978865,6.63500873324])",2
983,"{link}""","(1048576,[545701],[5.53639644457])",2
984,Thanks for the free drinks Google!  #sxsw (@mention Speakeasy w/ 47 others) {link},"(1048576,[3150,40154,168011,412681,437943,503244,602614,636402,661562,746078,762049,1035612],[7.48230659363,7.48230659363,6.63500873324,1.30643932352,4.30425276328,0.615026147212,7.48230659363,4.77425639253,5.53639644457,4.4065316124,3.63927645969,2.33481211682])",2
985,Days later there's still a line out the door at the #SXSW apple store for the iPad2.  {link},"(1048576,[233903,269511,351091,412681,462367,503244,560488,634366,811130,1006970,1035612],[6.78915941307,2.53354670325,7.48230659363,1.30643932352,2.24763925416,0.615026147212,4.45378449725,3.45102016737,5.48987642894,6.38369430496,2.33481211682])",2
986,I can hear those ipad 2 nutters ipading away even now. Such is life in the techno hipster Mecca. #SXSW,"(1048576,[138674,172517,391832,479018,503244,533417,629592,635658,699254,752271,922125,976698,998485],[6.63500873324,5.14693167781,7.48230659363,7.48230659363,0.615026147212,5.02557082081,7.48230659363,5.74770553824,4.77425639253,2.1085725878,7.48230659363,4.99739994384,2.8125978865])",2
987,Seated for Turkey Bowl; Armadillo &amp; Kill List Sxxpress passes acquired; now if I could only buy an iPad. #SXSW,"(1048576,[89896,127193,225619,249130,383360,384657,503244,538664,737310,739540,822436,856821,879260],[6.63500873324,7.48230659363,7.48230659363,6.63500873324,5.14693167781,7.48230659363,0.615026147212,5.94186155268,3.0240908206,7.48230659363,7.48230659363,4.36141117712,7.48230659363])",2
989,&quot;O frabjous day ! Callooh ! Callay !??_[Baaah!?]&quot;???Lewis,"(1048576,[24317,186090,291134,518728,800389,887326,919698],[7.48230659363,7.48230659363,10.7240861149,7.48230659363,4.31823900526,7.48230659363,7.19462452118])",2
991,Free 22 track #sxsw sampler album on iTunes. #music #discovery {link},"(1048576,[32957,154931,412681,463535,464390,503244,644324,743669,762049,789375],[5.63647990313,7.48230659363,1.30643932352,6.97148096986,6.01596952484,0.615026147212,6.97148096986,6.78915941307,3.63927645969,5.44542466637])",2
992,Free 23-track #SXSW sampler on iTunes: {link},"(1048576,[191954,412681,503244,762049,789375,940230],[6.97148096986,1.30643932352,0.615026147212,3.63927645969,5.44542466637,7.48230659363])",2
993,Fantasy Bracket Challenge &amp; iPad 2 GiveAway {link} via #constantcontact #SXSW #MarchMadness #SelectionSunday,"(1048576,[39005,228696,385123,412681,503244,691813,737310,752271,763722,795062,973415,987311,998485],[7.48230659363,7.48230659363,3.69056975408,1.30643932352,0.615026147212,7.48230659363,3.0240908206,2.1085725878,7.48230659363,6.97148096986,7.48230659363,5.53639644457,2.8125978865])",2
994,"Preview tracks of showcasing artists/musicians at #SXSW, downloadable as torrents {link}","(1048576,[91038,323344,408598,412681,448903,612130,614815,642806],[6.63500873324,5.74770553824,6.97148096986,1.30643932352,6.63500873324,4.57358569706,7.48230659363,7.48230659363])",2
996,"Apps distract pubs, sez Khoi Vinh. Instead of focusing on reader exp, they're delivering same content 3 ways. #SXSW  {link}","(1048576,[6053,54831,74079,200236,269206,351218,386228,412681,458446,503244,511792,559701,616611,700336,759180,781659,1035612],[7.48230659363,6.1830236095,5.40286505195,7.48230659363,4.64909324957,5.32282234428,7.48230659363,1.30643932352,7.48230659363,0.615026147212,7.48230659363,7.48230659363,6.38369430496,7.48230659363,7.48230659363,7.19462452118,2.33481211682])",2
998,"Congrats Radical Media, Google, Arcade Fire for #sxsw best in show: Wilderness Downtown!","(1048576,[154822,159550,226972,240447,327976,451301,480354,503244,616087,678138,952459],[5.63647990313,7.48230659363,5.36204305743,6.97148096986,6.78915941307,6.97148096986,6.97148096986,0.615026147212,7.48230659363,7.48230659363,4.57358569706])",2
1000,Line is wrapping around the block for an iPad 2 again for a second day at #sxsw! {link},"(1048576,[412681,548433,555238,602617,634366,752271,785731,800389,914759,998485],[1.30643932352,6.63500873324,4.86734681559,4.47004501812,3.45102016737,2.1085725878,6.97148096986,4.31823900526,5.63647990313,2.8125978865])",2
1001,How frustrating is it that Zeldman autocorrects to Zelda on the iPhone? #jzsxsw #sxsw,"(1048576,[58929,284027,503244,646267,786714,788782,961285],[7.48230659363,6.97148096986,0.615026147212,7.48230659363,7.48230659363,7.48230659363,5.87286868119])",2
1002,"Despite drawing giant crowd, Google-Bing Q&amp;A discussion is very inside baseball. #sxsw","(1048576,[46582,232974,322876,417240,499423,503244,629351,668462,720087,983790],[5.87286868119,6.97148096986,6.97148096986,6.63500873324,6.09601223251,0.615026147212,6.09601223251,6.63500873324,6.38369430496,6.78915941307])",2
1003,Line is crazy long at #sxsw Apple store for #iPad2,"(1048576,[176390,269511,462367,503244,634366,730600,896353],[5.74770553824,2.53354670325,2.24763925416,0.615026147212,3.45102016737,5.32282234428,3.96579836546])",2
1005,Google Circles - looking forward to this. sadly no launch at #SXSW,"(1048576,[102257,487830,503244,569819,835488,851840,991355,1005314,1039956],[3.46292506988,6.63500873324,0.615026147212,2.64338267721,4.11501076364,6.50147734062,5.58518660874,6.50147734062,2.0086363396])",2
1006,Google Circles : won't be launched at #SXSW. Google even denies working on such a project : {link} #Facebook,"(1048576,[412681,672633,699254,835488,889256,928155,957783,971734,1000032,1019815,1039956],[1.30643932352,3.40476914972,4.77425639253,4.11501076364,5.44542466637,6.97148096986,5.94186155268,10.8908493327,6.97148096986,6.38369430496,4.01727267921])",2
1007,Google Circles at #sxsw whoooooo {link},"(1048576,[169053,412681,503244,835488,1039956],[7.48230659363,1.30643932352,0.615026147212,4.11501076364,2.0086363396])",2
1008,Google Circles coming soon- new social network will have photo/video/status updates and more #SXSWi #SXSW {link},"(1048576,[29945,215949,333234,335510,382874,412681,503244,819513,835488,839058,887621,1039956],[2.66471681969,3.39353307646,7.48230659363,4.43778415591,3.94618989407,1.30643932352,0.615026147212,7.48230659363,4.11501076364,5.36204305743,4.1620782745,2.0086363396])",2
1009,Google Circles could potentially be unveiled today at #SXSW. Could Google get 'social' right this time? Your opinion? {link},"(1048576,[1772,118590,362039,406038,412681,461180,672633,791259,835488,905264,1010378,1039956],[6.63500873324,4.36141117712,3.36598312469,3.40476914972,1.30643932352,7.48230659363,3.40476914972,7.48230659363,4.11501076364,7.48230659363,7.48230659363,4.01727267921])",2
1010,Google Circles is (not) a real thing and will (not) be launched today at #sxsw {link},"(1048576,[174475,369643,406038,412681,503244,621182,835488,957783,1039956],[5.53639644457,4.99739994384,3.40476914972,1.30643932352,0.615026147212,14.9646131873,4.11501076364,5.94186155268,2.0086363396])",2
1011,Google Circles launching today at #SXSW? New #Facebook killer???? {link},"(1048576,[29945,117118,263738,406038,412681,835488,911826,1000032,1039956],[2.66471681969,7.48230659363,4.3468123777,3.40476914972,1.30643932352,4.11501076364,4.86734681559,6.97148096986,2.0086363396])",2
1012,"Google Circles might launch today at #sxsw, a new social network: {link}","(1048576,[29945,102257,215949,252445,406038,409945,412681,612130,835488,1039956],[2.66471681969,3.46292506988,3.39353307646,7.48230659363,3.40476914972,4.99739994384,1.30643932352,4.57358569706,4.11501076364,2.0086363396])",2
1014,Google Circles Not Launched at #SXSW {link},"(1048576,[412681,503244,835488,957783,1039956],[1.30643932352,0.615026147212,4.11501076364,5.94186155268,2.0086363396])",2
1015,Google Circles preview {link} #sxsw,"(1048576,[323344,412681,503244,835488,1039956],[5.74770553824,1.30643932352,0.615026147212,4.11501076364,2.0086363396])",2
1016,Google Circles social network? {link} #SXSW,"(1048576,[204192,215949,412681,503244,835488,1039956],[6.97148096986,3.39353307646,1.30643932352,0.615026147212,4.11501076364,2.0086363396])",2
1017,Google Circles will be ______    #sxsw,"(1048576,[503244,583048,835488,1035612,1039956],[0.615026147212,6.63500873324,4.11501076364,7.00443635045,2.0086363396])",2
1020,Google Circles will not launch at #SXSW - {link},"(1048576,[102257,412681,503244,569819,835488,1039956],[3.46292506988,1.30643932352,0.615026147212,2.64338267721,4.11501076364,2.0086363396])",2
1021,"Google Circles, #Google's major #SocialNetwork will premier at #SXSW today. #Tech #Geek #SocialMedia #GoogleCircles","(1048576,[8053,73140,122731,195000,308649,348284,416784,503244,892216,900245,936634,1039956],[7.19462452118,5.44542466637,7.48230659363,6.97148096986,4.61062696874,6.1830236095,7.48230659363,0.615026147212,4.50338143839,6.2783337893,6.63500873324,2.0086363396])",2
1022,"Google Circles, a new social network? No #SXSW.  {link}","(1048576,[29945,204192,215949,412681,672633,892216,1035612,1039956],[2.66471681969,6.97148096986,3.39353307646,1.30643932352,3.40476914972,4.50338143839,2.33481211682,2.0086363396])",2
1023,"Google Circles, google's social network, rumored to be launching today at #sxsw","(1048576,[54079,161329,215949,406038,503244,876302,892216,911826,1039956],[6.63500873324,6.63500873324,3.39353307646,3.40476914972,0.615026147212,4.3468123777,4.50338143839,4.86734681559,2.0086363396])",2
1025,"Google Circles, what is it and will it ever arrive? {link} #google #circles #social #search #sxsw","(1048576,[251609,307350,412681,503244,646839,730078,863200,892216,990234,1039956],[7.48230659363,5.21362305231,1.30643932352,0.615026147212,3.87138868098,6.1830236095,7.48230659363,4.50338143839,5.1151829795,2.0086363396])",2
1026,Google Circles?  #sxsw #orly?,"(1048576,[503244,602533,794220,1035612,1039956],[0.615026147212,7.48230659363,7.48230659363,2.33481211682,2.0086363396])",2
1027,Google Circles.  Big rumor from what I can tell.  {link} #sxsw #wellplayed,"(1048576,[42648,211021,213940,292150,412681,428553,503244,1035612,1039956],[7.48230659363,7.48230659363,6.38369430496,4.47004501812,1.30643932352,6.97148096986,0.615026147212,4.66962423363,2.0086363396])",2
1028,Google Circles. A new social networking platform. {link} So this is the new Facebook? #SXSW,"(1048576,[29945,213940,215949,230435,412681,503244,588906,641151,1039956],[5.32943363938,6.38369430496,3.39353307646,6.38369430496,1.30643932352,0.615026147212,7.48230659363,7.48230659363,2.0086363396])",2
1030,Google Circles... is it happening? So lost.  #SXSW,"(1048576,[497804,503244,693754,864305,1035612,1039956],[7.48230659363,0.615026147212,7.48230659363,7.48230659363,2.33481211682,2.0086363396])",2
1031,"Google Circles' Looms, But do Google's Nerds 'Get' Social? {link} #socialmedia #sxsw","(1048576,[348284,412681,503244,724607,740721,744534,785399,876302,930669,1039956],[6.1830236095,1.30643932352,0.615026147212,5.63647990313,6.01596952484,6.01596952484,5.53639644457,4.3468123777,6.01596952484,2.0086363396])",2
1036,"Dear Lanyrd -- you're site is awesome to use for #sxsw, but i wish you had an iphone app!","(1048576,[56559,133902,150419,344639,379017,612130,650411,807151,881283,952269],[2.75491877492,5.63647990313,6.97148096986,5.44542466637,4.33242364025,4.57358569706,6.38369430496,5.08441132083,5.6905471244,5.21362305231])",2
1039,apple store #sxsw line is moving at the front. these fruit basket imacs better be worth it!,"(1048576,[78182,102787,269511,368635,448419,462367,503244,634366,730964,874676,902349,993617],[7.48230659363,6.09601223251,2.53354670325,6.2783337893,7.48230659363,2.24763925416,0.615026147212,3.45102016737,7.48230659363,7.48230659363,4.66889587687,6.1830236095])",2
1040,#Foursquare + #Gowalla updating to V3.0; just in time for #SXSW.  Gowalla def stepped it up w/ their new #Android UI.,"(1048576,[29945,38173,86538,89188,165652,371610,383661,437943,582640,672633,704057,732165,884599,1009688,1035612],[2.66471681969,6.97148096986,7.48230659363,7.48230659363,7.48230659363,4.64909324957,3.93652798316,4.30425276328,7.48230659363,3.40476914972,6.97148096986,7.19462452118,4.89203942818,6.38369430496,2.33481211682])",2
1041,Buttons are a hack around direct interaction. Use the medium. #tapworthy #iPad #sxsw,"(1048576,[37345,61095,232359,338352,379017,391844,503244,602617,645547,857264],[6.97148096986,7.48230659363,3.85353106358,7.48230659363,4.33242364025,6.09601223251,0.615026147212,4.47004501812,5.53639644457,7.48230659363])",2
1042,"If you were able to afford to attend #sxsw or buy an iPad today, consider saving a few $$$ for Japan earthquake relief. Just sayin.","(1048576,[5463,33400,101464,231060,407073,480534,503244,515160,581306,746909,752271,856821,927960,985187],[6.01596952484,5.80833016006,5.53639644457,6.38369430496,6.63500873324,5.87286868119,0.615026147212,5.63647990313,5.40286505195,6.1830236095,2.1085725878,4.36141117712,5.44542466637,5.6905471244])",2
1043,"If you were able to afford to attend #sxsw or buy an iPad today, consider saving a few $$$ for Japan earthquake relief. Just sayin. #fb","(1048576,[5463,33400,101464,231060,407073,480534,503244,515160,561670,581306,746909,752271,856821,927960,985187],[6.01596952484,5.80833016006,5.53639644457,6.38369430496,6.63500873324,5.87286868119,0.615026147212,5.63647990313,5.74770553824,5.40286505195,6.1830236095,2.1085725878,4.36141117712,5.44542466637,5.6905471244])",2
1046,Anyone here at #SXSW know where the &quot;PopUp&quot; Apple Store will be in Downtown Austin? :) #Apple #ipad2 #purchase :),"(1048576,[138193,269511,337453,462367,503244,536345,716791,847873,896353,914023,927363,1009424],[4.94333272257,2.53354670325,6.01596952484,2.24763925416,0.615026147212,6.97148096986,7.48230659363,3.87138868098,3.96579836546,4.43778415591,4.19889224762,8.87556831181])",2
1047,"if you were at the #pepsicostage yesterday, please check your bag. You may have my iPad. The lock screen will tell you it's mine. #sxsw","(1048576,[140586,297188,383360,503244,547844,638578,768865,770707,871962,975406,1006010,1017353],[4.43778415591,6.01596952484,5.14693167781,0.615026147212,7.48230659363,7.48230659363,7.48230659363,7.48230659363,5.14693167781,7.48230659363,4.55556719156,4.94333272257])",2
1048,Groups were challenged with coming up with an iPhone app to solve their parenting/start-up issues #sxsw,"(1048576,[56559,271781,335510,391766,393896,503244,545057,855139,1026672],[2.75491877492,7.48230659363,4.43778415591,3.21028085417,7.48230659363,0.615026147212,7.48230659363,6.78915941307,7.19462452118])",2
1050,Apple store craziness at #sxsw - 360 view: {link} {link},"(1048576,[84559,269511,309928,412681,462367,503244,569819,806785],[6.97148096986,2.53354670325,7.48230659363,2.61287864705,2.24763925416,0.615026147212,2.64338267721,7.48230659363])",2
1051,Popup store de gadgets da Apple no #SXSW {link},"(1048576,[36449,111793,269511,397170,412681,462367,503244,702575],[4.99739994384,6.63500873324,2.53354670325,4.23711346044,1.30643932352,2.24763925416,0.615026147212,7.48230659363])",2
1053,&quot;Where does search stop and discovery stop? It's a revolution&quot; by Google #DiscoveryTalk #SXSW,"(1048576,[183060,251780,277421,316944,352111,464412,503244,903378,1039956],[7.48230659363,7.48230659363,6.97148096986,7.48230659363,7.48230659363,5.28508201629,0.615026147212,5.1151829795,2.0086363396])",2
1054,Apple store downtown Austin open til Midnight. #sxsw,"(1048576,[236182,269511,462367,503244,693815,914023,1018048,1039291],[6.01596952484,2.53354670325,2.24763925416,0.615026147212,4.22421005561,4.43778415591,6.38369430496,3.04752939357])",2
1055,???Foursquare for bands&quot; just in time for #SXSW {link},"(1048576,[383661,412681,445162,503244,544626],[3.93652798316,1.30643932352,7.48230659363,0.615026147212,7.48230659363])",2
1058,Apple store had wifi 64 gig ipad 2's only. #sxsw,"(1048576,[269511,391004,462367,501541,503244,752271,776256,887877,973185],[2.53354670325,6.1830236095,2.24763925416,7.48230659363,0.615026147212,2.1085725878,6.38369430496,6.97148096986,7.48230659363])",2
1059,Apple Store has had a line down the block all week long at #sxsw amazing,"(1048576,[269511,459090,462367,503244,540714,634366,730600,914759],[2.53354670325,5.44542466637,2.24763925416,0.615026147212,5.74770553824,3.45102016737,5.32282234428,5.63647990313])",2
1060,Making sure I packed everything I need for #sxsw. iPhone. iPad. Chargers. Business cards. Pants. Missing anything?,"(1048576,[57919,124977,299012,383360,396269,435973,471781,595812,604025,606058,641070,672633,684322,869593],[5.53639644457,7.48230659363,7.48230659363,5.14693167781,5.05455835768,4.53786761446,6.1830236095,5.32282234428,5.87286868119,7.48230659363,5.63647990313,3.40476914972,7.48230659363,3.5702835882])",2
1061,"#papasangre I would be so grateful if you made an audio game for Android, please. #sxsw","(1048576,[25688,57487,208063,503244,578621,665072,738052,925327],[7.19462452118,5.74770553824,6.1830236095,0.615026147212,6.63500873324,4.91735723617,6.63500873324,4.8197187666])",2
1062,"I dont care if people use android or iphones, but when see a browsering in #IE and takeing notes in word then I need to comment :-| #SXSW","(1048576,[187278,215995,287291,376830,379017,444954,503244,550219,594078,610077,696716,810463,869593,873705,895662,951041],[7.19462452118,3.77689783756,3.8447204339,4.45378449725,4.33242364025,7.48230659363,0.615026147212,6.97148096986,7.48230659363,7.48230659363,6.38369430496,5.87286868119,3.5702835882,6.50147734062,6.09601223251,7.48230659363])",2
1064,&quot;There is no other explanation for Apple's continued survival than the existence of God&quot; #GuyKawasaki #sxsw,"(1048576,[15885,32976,260704,397122,418944,482478,503244,760030,821556],[7.48230659363,7.48230659363,7.48230659363,7.48230659363,7.48230659363,7.48230659363,0.615026147212,5.36204305743,7.48230659363])",2
1065,apple store line at #sxsw {link},"(1048576,[269511,412681,462367,503244,634366],[2.53354670325,1.30643932352,2.24763925416,0.615026147212,3.45102016737])",2
1066,"Apple store peeps come running, high-fiving all in line. Open any sec? Enuf for all us chumps? #SXSW #ipad2 {link}","(1048576,[10205,153286,269511,412681,462367,466524,503244,546160,552253,693815,776098,896353,1030697,1036210,1042497],[6.01596952484,7.48230659363,2.53354670325,1.30643932352,2.24763925416,4.64909324957,0.615026147212,4.33242364025,7.48230659363,4.22421005561,6.1830236095,3.96579836546,7.48230659363,7.48230659363,7.48230659363])",2
1067,iPad 2s are popping up everywhere here at #SXSW. Are there a glut of iPads on sale on Craigslist now?,"(1048576,[124635,433092,551216,565217,663039,672633,752271,828985,848873,907275],[7.48230659363,6.38369430496,6.63500873324,6.78915941307,5.87286868119,3.40476914972,2.1085725878,6.1830236095,7.48230659363,5.63647990313])",2
1068,#papasangre producers new audio experience iPhone awesomeness #nightjar looks (or rather sounds) amazing. #sxsw,"(1048576,[29945,56559,82461,208063,372837,412655,434718,503244,567750,578621,727481,823134,938465,1037781],[2.66471681969,2.75491877492,6.97148096986,6.1830236095,4.86734681559,7.48230659363,6.97148096986,0.615026147212,6.97148096986,6.63500873324,6.38369430496,7.48230659363,7.48230659363,7.19462452118])",2
1072,"Papa Sangre, an immersive audio game for IPhone, is free today. Highly recommended. #PapaSangre #SxSW","(1048576,[73140,208063,209919,293848,503244,578621,650803,671508,739761,762049,837134,925327],[5.44542466637,6.1830236095,7.48230659363,6.97148096986,0.615026147212,6.63500873324,6.97148096986,5.36204305743,7.48230659363,3.63927645969,7.48230659363,4.8197187666])",2
1075,Whoa! There's a dude in front of me using Google Wave! #sxsw #xplat,"(1048576,[57400,211689,223829,434016,503244,612273,909501,1039956],[5.08441132083,6.63500873324,6.01596952484,7.48230659363,0.615026147212,7.48230659363,5.80833016006,2.0086363396])",2
1076,&quot;There's a reason why Google isn't in social -- they are too technical.&quot; #sxsw #comments,"(1048576,[87052,215949,269102,503244,594031,916960,952269,1039956],[6.2783337893,3.39353307646,7.48230659363,0.615026147212,7.48230659363,7.48230659363,5.21362305231,2.0086363396])",2
1077,Epic. There's just one guy waiting in line for the iPad 2 in Austin at SXSW. {link} #sxsw #ipad #ipad2,"(1048576,[3780,99364,232359,412681,503244,609183,634366,649660,752271,896353,907171,998485,1039291],[7.48230659363,5.40286505195,3.85353106358,1.30643932352,0.615026147212,5.87286868119,3.45102016737,3.85353106358,2.1085725878,3.96579836546,4.79672924838,2.8125978865,3.04752939357])",2
1078,"aight, here's my wed + thurs list of #sxsw possibilities: {link} i hope to see all my twitter buds out + about atx this week!","(1048576,[36924,215995,258670,339227,412681,447626,503244,538664,591973,632088,642124,652448,683112,884599],[7.48230659363,3.77689783756,5.36204305743,7.48230659363,1.30643932352,7.48230659363,0.615026147212,5.94186155268,7.48230659363,7.48230659363,7.48230659363,5.40286505195,7.48230659363,9.78407885637])",2
1079,"Enough already .... ???@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw??","(1048576,[29945,62713,102257,178534,215949,308649,382874,406038,412681,571320,676453,888368,892216,892650,981201,1039956],[2.66471681969,5.21362305231,3.46292506988,4.17419963503,3.39353307646,4.61062696874,3.94618989407,3.40476914972,1.30643932352,6.2783337893,5.44542466637,5.63647990313,4.50338143839,4.89203942818,6.78915941307,2.0086363396])",2
1080,people already lining up on the #sxsw #apple store at 6th and Congress. Festival promises to be much more attracting than that!,"(1048576,[62713,76764,269511,376830,399520,406080,503244,559124,733510,835053,847873,871557,982059],[5.21362305231,4.79672924838,2.53354670325,4.45378449725,6.63500873324,6.97148096986,0.615026147212,5.21362305231,6.63500873324,6.97148096986,3.87138868098,6.38369430496,6.97148096986])",2
1081,#sxflip breaking(?) iPhone version of Flipboard is ther next product #sxsw yay!,"(1048576,[56559,129395,267939,279362,503244,577207,579249,645524,867440,1018161],[2.75491877492,7.48230659363,5.80833016006,7.48230659363,0.615026147212,6.63500873324,4.48657432007,7.48230659363,5.58518660874,6.97148096986])",2
1084,"For some reason Cisco networking gear at #SXSW doesn't like working with iPhones, known issue so why use Cisco for mostly iPhone crowed?","(1048576,[56559,87052,163502,216294,230435,275772,308188,348543,379017,470402,503244,550219,634156,889256],[2.75491877492,6.2783337893,7.48230659363,13.9429619397,6.38369430496,6.78915941307,6.38369430496,6.63500873324,4.33242364025,3.49332254706,0.615026147212,6.97148096986,7.48230659363,5.44542466637])",2
1086,Another great review of Super Kaiju Hero Force: &quot;The jokes are a little childish but who am I to judge since I'm 13.&quot; LOL! #iphone #sxsw,"(1048576,[33532,81457,138356,220184,443513,443663,454281,455491,488803,503244,611856,626313,644408,897934,922516,940334,947991],[7.19462452118,7.48230659363,4.01657069083,6.63500873324,6.97148096986,6.09601223251,5.80833016006,4.86734681559,6.09601223251,0.615026147212,3.8187449475,7.48230659363,6.97148096986,7.48230659363,7.48230659363,6.78915941307,7.48230659363])",2
1087,Another great spreadsheet of all the #SXSW parties - {link},"(1048576,[138356,412681,455491,503244,503900,569819,592165],[4.01657069083,1.30643932352,4.86734681559,0.615026147212,6.38369430496,2.64338267721,5.53639644457])",2
1088,Pick Up Great Unlockable Deals by Checking Into Places on Google Latitude [Apps] {link} #GoogleBlog #SXSW #VIP,"(1048576,[23144,138356,192388,272760,348501,366364,412681,503244,941276,949659,1013545,1016799,1039956],[7.48230659363,4.01657069083,7.48230659363,7.48230659363,7.48230659363,5.94186155268,1.30643932352,0.615026147212,6.38369430496,6.1830236095,7.48230659363,6.63500873324,2.0086363396])",2
1090,#sxsw=appreciation for Twitter. My account has never seen such action (from me). iPhone battery now dead. Found an outlet. #backinbusiness,"(1048576,[43695,56559,93604,268837,279859,362184,448737,454047,680176,719506,770094,911075,924534,928528],[7.48230659363,2.75491877492,5.08441132083,6.97148096986,6.63500873324,7.48230659363,5.63647990313,7.48230659363,6.97148096986,7.48230659363,4.97000096965,5.80833016006,7.48230659363,5.21362305231])",2
1092,"just ordered my ipad 2 and am excited to be at #SXSW, but it all seems silly with what's happening in japan right now.","(1048576,[103474,118590,193411,559872,585584,612130,682417,752271,927960,976698,998485],[7.19462452118,4.36141117712,6.38369430496,7.19462452118,5.6905471244,4.57358569706,6.2783337893,2.1085725878,5.44542466637,4.99739994384,2.8125978865])",2
1095,Lots o' free music from #SXSW bands: {link} and {link},"(1048576,[258597,412681,456010,503244,762049,849875,1002176],[7.48230659363,2.61287864705,5.6905471244,0.615026147212,3.63927645969,4.79672924838,7.48230659363])",2
1097,Google Street View car on 6th and Brazos. Timing is everything.  #SXSW,"(1048576,[21856,99311,503244,559124,613101,754060,784979,1035612,1039956,1047255],[7.48230659363,7.19462452118,0.615026147212,5.21362305231,5.24871437212,5.74770553824,7.48230659363,2.33481211682,2.0086363396,5.08441132083])",2
1098,Farmers prefer Balckberries over iPhones and Andriod devices. More durable? Anti-Apple feelings?  #mobilefarm #sxsw,"(1048576,[45018,50528,156908,295056,298087,326853,353278,439191,461653,463483,503244,1035612],[7.48230659363,6.78915941307,7.48230659363,7.48230659363,6.97148096986,6.63500873324,6.97148096986,7.48230659363,7.48230659363,7.48230659363,0.615026147212,2.33481211682])",2
