,text,label,location,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
61,"I'm at Glenside, PA in PA https://t.co/43kcDOukKM",0,"[-75.15134295, 40.10008264]","[""i'm"", 'at', 'glenside,', 'pa', 'in', 'pa', 'https://t.co/43kcdoukkm']","['glenside,', 'pa', 'pa', 'https://t.co/43kcdoukkm']","(1048576,[247009,285191,794766],[2.0,1.0,1.0])","(1048576,[247009,285191,794766],[7.80394533915,3.90197266957,3.90197266957])",3
62,Is Art School Only for the Young?  https://t.co/qcMsY82HhA,0,"[-74.0007613, 40.7207559]","['is', 'art', 'school', 'only', 'for', 'the', 'young?', '', 'https://t.co/qcmsy82hha']","['art', 'school', 'young?', '', 'https://t.co/qcmsy82hha']","(1048576,[586943,635200,771158,893163,1035612],[1.0,1.0,1.0,1.0,1.0])","(1048576,[586943,635200,771158,893163,1035612],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.95606252052])",6
63,Whistler's Newest Products (CE Week 2018)  https://t.co/Yx88jO2rtZ,0,"[-74.0007613, 40.7207559]","[""whistler's"", 'newest', 'products', '(ce', 'week', '2018)', '', 'https://t.co/yx88jo2rtz']","[""whistler's"", 'newest', 'products', '(ce', 'week', '2018)', '', 'https://t.co/yx88jo2rtz']","(1048576,[147937,226359,237319,336462,459090,524391,562518,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[147937,226359,237319,336462,459090,524391,562518,1035612],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.20882548901,3.90197266957,3.90197266957,1.95606252052])",4
64,"Beyond Roe, Bork and Trump: Can Americans find a way to discuss hot moral issues?  https://t.co/CanYVbnspo",0,"[-76.6121893, 39.2903848]","['beyond', 'roe,', 'bork', 'and', 'trump:', 'can', 'americans', 'find', 'a', 'way', 'to', 'discuss', 'hot', 'moral', 'issues?', '', 'https://t.co/canyvbnspo']","['beyond', 'roe,', 'bork', 'trump:', 'americans', 'find', 'way', 'discuss', 'hot', 'moral', 'issues?', '', 'https://t.co/canyvbnspo']","(1048576,[223935,403874,461399,585544,590226,616166,828775,888699,897950,919886,923585,1035612,1045212],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[223935,403874,461399,585544,590226,616166,828775,888699,897950,919886,923585,1035612,1045212],[3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.90197266957,3.49650756147,3.49650756147,1.95606252052,3.49650756147])",6
65,#iufb #Hoosiers #IUnit19 Recapping the Wild Month of June of IU Football Recruiting  https://t.co/eGWsdUG2n7,0,"[-86.1498213, 39.7683024]","['#iufb', '#hoosiers', '#iunit19', 'recapping', 'the', 'wild', 'month', 'of', 'june', 'of', 'iu', 'football', 'recruiting', '', 'https://t.co/egwsdug2n7']","['#iufb', '#hoosiers', '#iunit19', 'recapping', 'wild', 'month', 'june', 'iu', 'football', 'recruiting', '', 'https://t.co/egwsdug2n7']","(1048576,[202882,364678,398771,530513,599393,630928,650656,676563,679120,755348,767382,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[202882,364678,398771,530513,599393,630928,650656,676563,679120,755348,767382,1035612],[3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,1.95606252052])",6
66,"Beyond Roe, Bork and Trump: Can Americans find a way to discuss hot moral issues?  https://t.co/rQYP9ScXe5",0,"[-76.6121893, 39.2903848]","['beyond', 'roe,', 'bork', 'and', 'trump:', 'can', 'americans', 'find', 'a', 'way', 'to', 'discuss', 'hot', 'moral', 'issues?', '', 'https://t.co/rqyp9scxe5']","['beyond', 'roe,', 'bork', 'trump:', 'americans', 'find', 'way', 'discuss', 'hot', 'moral', 'issues?', '', 'https://t.co/rqyp9scxe5']","(1048576,[223935,403874,461399,585544,590226,616166,771115,828775,888699,919886,923585,1035612,1045212],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[223935,403874,461399,585544,590226,616166,771115,828775,888699,919886,923585,1035612,1045212],[3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.49650756147,3.90197266957,3.49650756147,3.49650756147,3.49650756147,3.49650756147,1.95606252052,3.49650756147])",6
67,"I'm at Welwyn preserve in Glen Cove, NY https://t.co/XUz1emGZVC",0,"[-73.6418674, 40.88402766]","[""i'm"", 'at', 'welwyn', 'preserve', 'in', 'glen', 'cove,', 'ny', 'https://t.co/xuz1emgzvc']","['welwyn', 'preserve', 'glen', 'cove,', 'ny', 'https://t.co/xuz1emgzvc']","(1048576,[123358,207222,350518,484438,532377,1007758],[1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[123358,207222,350518,484438,532377,1007758],[3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957])",6
68,"I’m in control of my destiny, never in doubt?????? #HappyCashDayMontana @ Union EAV https://t.co/T2t41y5E9h",0,"[-84.34635779, 33.74078133]","['i’m', 'in', 'control', 'of', 'my', 'destiny,', 'never', 'in', 'doubt??\u200d???', '#happycashdaymontana', '@', 'union', 'eav', 'https://t.co/t2t41y5e9h']","['i’m', 'control', 'destiny,', 'never', 'doubt??\u200d???', '#happycashdaymontana', '@', 'union', 'eav', 'https://t.co/t2t41y5e9h']","(1048576,[235606,248482,266986,277042,285647,366768,593730,770094,907237,916191],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[235606,248482,266986,277042,285647,366768,593730,770094,907237,916191],[2.9856819377,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957])",6
69,After You March  https://t.co/ETwfpA7CtB,0,"[-74.02101734, 40.72817129]","['after', 'you', 'march', '', 'https://t.co/etwfpa7ctb']","['march', '', 'https://t.co/etwfpa7ctb']","(1048576,[103931,191774,1035612],[1.0,1.0,1.0])","(1048576,[103931,191774,1035612],[3.90197266957,3.90197266957,1.95606252052])",6
70,"Congrats Ho. Can u break a £? @ Los Angeles, California https://t.co/OqdhaPNFuZ",0,"[-118.243, 34.0522]","['congrats', 'ho.', 'can', 'u', 'break', 'a', '£?', '@', 'los', 'angeles,', 'california', 'https://t.co/oqdhapnfuz']","['congrats', 'ho.', 'u', 'break', '£?', '@', 'los', 'angeles,', 'california', 'https://t.co/oqdhapnfuz']","(1048576,[129837,211926,226972,522669,593730,623218,667651,834064,1001508,1027645],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[129837,211926,226972,522669,593730,623218,667651,834064,1001508,1027645],[3.90197266957,3.49650756147,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
71,"See our latest #SanFrancisco, CA #job and click to apply: Front End Software Engineer - https://t.co/xTBdxyA94C #Engineering #Hiring",0,"[-122.4194155, 37.7749295]","['see', 'our', 'latest', '#sanfrancisco,', 'ca', '#job', 'and', 'click', 'to', 'apply:', 'front', 'end', 'software', 'engineer', '-', 'https://t.co/xtbdxya94c', '#engineering', '#hiring']","['see', 'latest', '#sanfrancisco,', 'ca', '#job', 'click', 'apply:', 'front', 'end', 'software', 'engineer', '-', 'https://t.co/xtbdxya94c', '#engineering', '#hiring']","(1048576,[91889,122254,215995,387613,398402,569819,642217,669737,695983,770186,853019,909501,909906,1031255,1041788],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[91889,122254,215995,387613,398402,569819,642217,669737,695983,770186,853019,909501,909906,1031255,1041788],[3.90197266957,2.64920970108,3.49650756147,3.90197266957,3.90197266957,2.64920970108,3.90197266957,3.90197266957,2.51567830845,2.9856819377,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
72,"BIG SHOTS RALEIGH INVITATIONAL TOURNAMENT 2  (Raleigh, NC | 17U-9U Boys &amp; Girls) ~ 12U Boys ~ Raising Young Men def… https://t.co/Fd1s2afdgI",0,"[-78.9281602, 35.9847295]","['big', 'shots', 'raleigh', 'invitational', 'tournament', '2', '', '(raleigh,', 'nc', '|', '17u-9u', 'boys', '&amp;', 'girls)', '~', '12u', 'boys', '~', 'raising', 'young', 'men', 'def…', 'https://t.co/fd1s2afdgi']","['big', 'shots', 'raleigh', 'invitational', 'tournament', '2', '', '(raleigh,', 'nc', '|', '17u-9u', 'boys', '&amp;', 'girls)', '~', '12u', 'boys', '~', 'raising', 'young', 'men', 'def…', 'https://t.co/fd1s2afdgi']","(1048576,[96717,105620,122864,259626,267978,292150,469516,479493,654601,723032,737310,814846,821947,866308,881299,889814,936396,998485,1004100,1020712,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0])","(1048576,[96717,105620,122864,259626,267978,292150,469516,479493,654601,723032,737310,814846,821947,866308,881299,889814,936396,998485,1004100,1020712,1035612],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,7.80394533915,3.90197266957,3.90197266957,3.90197266957,3.49650756147,7.80394533915,3.90197266957,1.95606252052])",6
73,Just posted a photo @ Central Park https://t.co/q9vUTPQlzi,0,"[-73.972216, 40.77274259]","['just', 'posted', 'a', 'photo', '@', 'central', 'park', 'https://t.co/q9vutpqlzi']","['posted', 'photo', '@', 'central', 'park', 'https://t.co/q9vutpqlzi']","(1048576,[9103,101479,333970,348957,593730,731790],[1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[9103,101479,333970,348957,593730,731790],[3.49650756147,3.90197266957,3.90197266957,3.49650756147,1.55059741241,3.90197266957])",6
74,Kudos to this Merrillville Police Department officer for patrolling the Erie-Lackawanna Trail this morning during t… https://t.co/4MmBheNPi9,0,"[-87.33410418, 41.42287037]","['kudos', 'to', 'this', 'merrillville', 'police', 'department', 'officer', 'for', 'patrolling', 'the', 'erie-lackawanna', 'trail', 'this', 'morning', 'during', 't…', 'https://t.co/4mmbhenpi9']","['kudos', 'merrillville', 'police', 'department', 'officer', 'patrolling', 'erie-lackawanna', 'trail', 'morning', 't…', 'https://t.co/4mmbhenpi9']","(1048576,[79613,134169,418496,495496,500436,514516,536239,650071,784620,884129,1017066],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[79613,134169,418496,495496,500436,514516,536239,650071,784620,884129,1017066],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
75,Chandler AZ Sat Jun 30th AM Forecast: TODAY Mostly Sunny Hi 80 TONIGHT Mostly Clear Lo 53,0,"[-111.8671, 33.324]","['chandler', 'az', 'sat', 'jun', '30th', 'am', 'forecast:', 'today', 'mostly', 'sunny', 'hi', '80', 'tonight', 'mostly', 'clear', 'lo', '53']","['chandler', 'az', 'sat', 'jun', '30th', 'forecast:', 'today', 'mostly', 'sunny', 'hi', '80', 'tonight', 'mostly', 'clear', 'lo', '53']","(1048576,[35492,93917,181095,275772,311014,311448,406038,482871,665108,746392,823797,859990,885029,908543,921265],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[35492,93917,181095,275772,311014,311448,406038,482871,665108,746392,823797,859990,885029,908543,921265],[2.64920970108,2.29253475714,2.3978952728,5.60672076181,2.3978952728,2.3978952728,2.11021320035,2.3978952728,2.3978952728,2.80336038091,2.3978952728,2.64920970108,3.90197266957,2.80336038091,2.3978952728])",7
76,RT @MelaninUnicornn: RT @Brenda_hadiah: Y’all please I’m begging retweet be on the lookout she only 15 call one of… https://t.co/vx8ACfkWXT,0,"[-83.742734, 30.8948088]","['rt', '@melaninunicornn:', 'rt', '@brenda_hadiah:', 'y’all', 'please', 'i’m', 'begging', 'retweet', 'be', 'on', 'the', 'lookout', 'she', 'only', '15', 'call', 'one', 'of…', 'https://t.co/vx8acfkwxt']","['rt', '@melaninunicornn:', 'rt', '@brenda_hadiah:', 'y’all', 'please', 'i’m', 'begging', 'retweet', 'lookout', '15', 'call', 'one', 'of…', 'https://t.co/vx8acfkwxt']","(1048576,[26604,133037,206255,235606,248305,420774,513503,632617,649660,842957,896138,897736,966026,1017353],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[26604,133037,206255,235606,248305,420774,513503,632617,649660,842957,896138,897736,966026,1017353],[3.49650756147,3.49650756147,3.49650756147,2.9856819377,6.41765097803,3.49650756147,3.49650756147,3.49650756147,2.80336038091,3.49650756147,3.49650756147,3.90197266957,3.49650756147,3.49650756147])",6
77,"MED - MEDICAL at 10600 BLOCK OF SE CLAY ST, PORTLAND, OR [Portland Fire #RP18000051905] 05:38 #pdx911",0,"[-122.553717, 45.513846]","['med', '-', 'medical', 'at', '10600', 'block', 'of', 'se', 'clay', 'st,', 'portland,', 'or', '[portland', 'fire', '#rp18000051905]', '05:38', '#pdx911']","['med', '-', 'medical', '10600', 'block', 'se', 'clay', 'st,', 'portland,', '[portland', 'fire', '#rp18000051905]', '05:38', '#pdx911']","(1048576,[58385,243998,383761,569819,580195,591411,616087,702222,766806,770706,825152,858643,914759,933621],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[58385,243998,383761,569819,580195,591411,616087,702222,766806,770706,825152,858643,914759,933621],[3.90197266957,3.90197266957,3.49650756147,2.64920970108,3.49650756147,3.49650756147,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957])",6
78,RT @MelaninUnicornn: RT @Brenda_hadiah: Y’all please I’m begging retweet be on the lookout she only 15 call one of… https://t.co/umcaGqg51t,0,"[-83.742734, 30.8948088]","['rt', '@melaninunicornn:', 'rt', '@brenda_hadiah:', 'y’all', 'please', 'i’m', 'begging', 'retweet', 'be', 'on', 'the', 'lookout', 'she', 'only', '15', 'call', 'one', 'of…', 'https://t.co/umcagqg51t']","['rt', '@melaninunicornn:', 'rt', '@brenda_hadiah:', 'y’all', 'please', 'i’m', 'begging', 'retweet', 'lookout', '15', 'call', 'one', 'of…', 'https://t.co/umcagqg51t']","(1048576,[26604,133037,206255,235606,248305,420774,513503,632617,649660,842957,896138,966026,995821,1017353],[1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[26604,133037,206255,235606,248305,420774,513503,632617,649660,842957,896138,966026,995821,1017353],[3.49650756147,3.49650756147,3.49650756147,2.9856819377,6.41765097803,3.49650756147,3.49650756147,3.49650756147,2.80336038091,3.49650756147,3.49650756147,3.49650756147,3.90197266957,3.49650756147])",6
79,"If you're looking for work in #Worcester, MA, check out this #job: https://t.co/kaUgecCtMA #Healthcare #Hiring #CareerArc",0,"[-71.7588217, 42.2717443]","['if', ""you're"", 'looking', 'for', 'work', 'in', '#worcester,', 'ma,', 'check', 'out', 'this', '#job:', 'https://t.co/kaugecctma', '#healthcare', '#hiring', '#careerarc']","['looking', 'work', '#worcester,', 'ma,', 'check', '#job:', 'https://t.co/kaugecctma', '#healthcare', '#hiring', '#careerarc']","(1048576,[309997,316962,546607,558955,695983,820775,882349,981392,991355,1006010],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[309997,316962,546607,558955,695983,820775,882349,981392,991355,1006010],[3.49650756147,3.90197266957,2.64920970108,3.49650756147,2.51567830845,3.20882548901,3.90197266957,3.90197266957,3.20882548901,3.20882548901])",6
80,Flagstaff AZ Sat Jun 30th AM Forecast: TODAY Sunny Hi 82 TONIGHT Clear Lo 50,0,"[-111.6603, 35.1888]","['flagstaff', 'az', 'sat', 'jun', '30th', 'am', 'forecast:', 'today', 'sunny', 'hi', '82', 'tonight', 'clear', 'lo', '50']","['flagstaff', 'az', 'sat', 'jun', '30th', 'forecast:', 'today', 'sunny', 'hi', '82', 'tonight', 'clear', 'lo', '50']","(1048576,[35492,46979,93917,181095,311014,311448,389148,406038,482871,503811,665108,823797,859990,921265],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[35492,46979,93917,181095,311014,311448,389148,406038,482871,503811,665108,823797,859990,921265],[2.64920970108,3.90197266957,2.29253475714,2.3978952728,2.3978952728,2.3978952728,3.90197266957,2.11021320035,2.3978952728,3.90197266957,2.3978952728,2.3978952728,2.64920970108,2.3978952728])",5
81,"“I am American, American, Red, White, and Blue”. Bristol Half Marathon complete! This is one of my favorite races o… https://t.co/3Uks7Dgd0p",0,"[-71.2687, 41.6842]","['“i', 'am', 'american,', 'american,', 'red,', 'white,', 'and', 'blue”.', 'bristol', 'half', 'marathon', 'complete!', 'this', 'is', 'one', 'of', 'my', 'favorite', 'races', 'o…', 'https://t.co/3uks7dgd0p']","['“i', 'american,', 'american,', 'red,', 'white,', 'blue”.', 'bristol', 'half', 'marathon', 'complete!', 'one', 'favorite', 'races', 'o…', 'https://t.co/3uks7dgd0p']","(1048576,[17252,36217,126067,133672,402580,421378,523288,649660,716749,848814,880287,912315,963004,998035],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0])","(1048576,[17252,36217,126067,133672,402580,421378,523288,649660,716749,848814,880287,912315,963004,998035],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,2.80336038091,3.90197266957,3.90197266957,3.90197266957,7.80394533915,3.90197266957,3.90197266957])",6
82,Glendale AZ Sat Jun 30th AM Forecast: TODAY Mostly Sunny Hi 80 TONIGHT Mostly Clear Lo 53,0,"[-112.1772, 33.5314]","['glendale', 'az', 'sat', 'jun', '30th', 'am', 'forecast:', 'today', 'mostly', 'sunny', 'hi', '80', 'tonight', 'mostly', 'clear', 'lo', '53']","['glendale', 'az', 'sat', 'jun', '30th', 'forecast:', 'today', 'mostly', 'sunny', 'hi', '80', 'tonight', 'mostly', 'clear', 'lo', '53']","(1048576,[35492,93917,181095,275772,311014,311448,406038,450397,482871,665108,746392,823797,859990,908543,921265],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[35492,93917,181095,275772,311014,311448,406038,450397,482871,665108,746392,823797,859990,908543,921265],[2.64920970108,2.29253475714,2.3978952728,5.60672076181,2.3978952728,2.3978952728,2.11021320035,3.90197266957,2.3978952728,2.3978952728,2.80336038091,2.3978952728,2.64920970108,2.80336038091,2.3978952728])",7
83,Morning! ???? @ Swaying Pines https://t.co/MrA22UAROZ,0,"[-79.99410716, 44.55351048]","['morning!', '????', '@', 'swaying', 'pines', 'https://t.co/mra22uaroz']","['morning!', '????', '@', 'swaying', 'pines', 'https://t.co/mra22uaroz']","(1048576,[44574,173483,593730,613029,630772,851660],[1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[44574,173483,593730,613029,630772,851660],[3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957])",6
84,"GASINV - NATURAL GAS ODOR OR INVESTIGATION at 2200 BLOCK OF NE MARINE DR, PORTLAND, OR [Portland Fire #RP18000051911] 06:38 #pdx911",0,"[-122.642535, 45.599682]","['gasinv', '-', 'natural', 'gas', 'odor', 'or', 'investigation', 'at', '2200', 'block', 'of', 'ne', 'marine', 'dr,', 'portland,', 'or', '[portland', 'fire', '#rp18000051911]', '06:38', '#pdx911']","['gasinv', '-', 'natural', 'gas', 'odor', 'investigation', '2200', 'block', 'ne', 'marine', 'dr,', 'portland,', '[portland', 'fire', '#rp18000051911]', '06:38', '#pdx911']","(1048576,[91722,168958,185140,224927,321410,383761,569819,580195,591411,616087,720578,756113,774123,914759,988541,1023384,1032113],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[91722,168958,185140,224927,321410,383761,569819,580195,591411,616087,720578,756113,774123,914759,988541,1023384,1032113],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147,2.64920970108,3.49650756147,3.49650756147,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957])",6
85,Kino AZ Sat Jun 30th AM Forecast: TODAY Partly Cloudy Hi 84 TONIGHT Partly Cloudy Lo 57,0,"[-110.9936, 32.2724]","['kino', 'az', 'sat', 'jun', '30th', 'am', 'forecast:', 'today', 'partly', 'cloudy', 'hi', '84', 'tonight', 'partly', 'cloudy', 'lo', '57']","['kino', 'az', 'sat', 'jun', '30th', 'forecast:', 'today', 'partly', 'cloudy', 'hi', '84', 'tonight', 'partly', 'cloudy', 'lo', '57']","(1048576,[24269,74823,93917,104268,181095,311014,311448,389258,406038,482871,665108,823797,857840,921265],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0])","(1048576,[24269,74823,93917,104268,181095,311014,311448,389258,406038,482871,665108,823797,857840,921265],[6.99301512293,3.49650756147,2.29253475714,3.49650756147,2.3978952728,2.3978952728,2.3978952728,3.90197266957,2.11021320035,2.3978952728,2.3978952728,2.3978952728,6.99301512293,2.3978952728])",5
86,"Feeling better; I love me; no doctors needed; reslience!!! #googlethat whooooo #KING @ Jamaica, New York https://t.co/ky9CXqNIOj",0,"[-73.8061, 40.6914]","['feeling', 'better;', 'i', 'love', 'me;', 'no', 'doctors', 'needed;', 'reslience!!!', '#googlethat', 'whooooo', '#king', '@', 'jamaica,', 'new', 'york', 'https://t.co/ky9cxqnioj']","['feeling', 'better;', 'love', 'me;', 'doctors', 'needed;', 'reslience!!!', '#googlethat', 'whooooo', '#king', '@', 'jamaica,', 'new', 'york', 'https://t.co/ky9cxqnioj']","(1048576,[29945,68452,145123,307766,409682,443246,470391,470424,593730,658626,746533,746776,811432,942629,972912],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[29945,68452,145123,307766,409682,443246,470391,470424,593730,658626,746533,746776,811432,942629,972912],[3.20882548901,3.90197266957,3.49650756147,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.49650756147,3.90197266957,3.90197266957,3.49650756147,3.90197266957,3.49650756147])",6
87,#needthese #season7 I need to finally get picked for a damn raffle ? @ Bushwick Junction https://t.co/rp1j45t3aR,0,"[-73.9086, 40.7153]","['#needthese', '#season7', 'i', 'need', 'to', 'finally', 'get', 'picked', 'for', 'a', 'damn', 'raffle', '?', '@', 'bushwick', 'junction', 'https://t.co/rp1j45t3ar']","['#needthese', '#season7', 'need', 'finally', 'get', 'picked', 'damn', 'raffle', '?', '@', 'bushwick', 'junction', 'https://t.co/rp1j45t3ar']","(1048576,[6183,66742,78295,108973,362039,364742,458641,498303,582887,593730,622430,767126,869593],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[6183,66742,78295,108973,362039,364742,458641,498303,582887,593730,622430,767126,869593],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957])",1
88,Met americannightmarecody at a local Dennys after the show. He was delightful! ringofhonor @ Denny's https://t.co/MbQkasMEip,0,"[-76.71188912, 39.16052539]","['met', 'americannightmarecody', 'at', 'a', 'local', 'dennys', 'after', 'the', 'show.', 'he', 'was', 'delightful!', 'ringofhonor', '@', ""denny's"", 'https://t.co/mbqkasmeip']","['met', 'americannightmarecody', 'local', 'dennys', 'show.', 'delightful!', 'ringofhonor', '@', ""denny's"", 'https://t.co/mbqkasmeip']","(1048576,[78812,83693,274619,284650,560847,593730,626390,907338,959192,966297],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[78812,83693,274619,284650,560847,593730,626390,907338,959192,966297],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.49650756147,3.90197266957])",6
89,Mesa AZ Sat Jun 30th AM Forecast: TODAY Mostly Sunny Hi 80 TONIGHT Mostly Clear Lo 53,0,"[-111.8483, 33.434]","['mesa', 'az', 'sat', 'jun', '30th', 'am', 'forecast:', 'today', 'mostly', 'sunny', 'hi', '80', 'tonight', 'mostly', 'clear', 'lo', '53']","['mesa', 'az', 'sat', 'jun', '30th', 'forecast:', 'today', 'mostly', 'sunny', 'hi', '80', 'tonight', 'mostly', 'clear', 'lo', '53']","(1048576,[35492,93917,181095,275772,311014,311448,406038,482871,665108,746392,823797,859990,872722,908543,921265],[1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[35492,93917,181095,275772,311014,311448,406038,482871,665108,746392,823797,859990,872722,908543,921265],[2.64920970108,2.29253475714,2.3978952728,5.60672076181,2.3978952728,2.3978952728,2.11021320035,2.3978952728,2.3978952728,2.80336038091,2.3978952728,2.64920970108,3.90197266957,2.80336038091,2.3978952728])",7
90,"Can you recommend anyone for this #job in #Springfield, MO? https://t.co/wWY9KNsUeU #Neurology #Hiring #CareerArc",0,"[-93.2922989, 37.2089572]","['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job', 'in', '#springfield,', 'mo?', 'https://t.co/wwy9knsueu', '#neurology', '#hiring', '#careerarc']","['recommend', 'anyone', '#job', '#springfield,', 'mo?', 'https://t.co/wwy9knsueu', '#neurology', '#hiring', '#careerarc']","(1048576,[122254,129613,138193,295620,546607,616689,695983,703283,942620],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,129613,138193,295620,546607,616689,695983,703283,942620],[2.64920970108,3.20882548901,3.20882548901,3.90197266957,2.64920970108,3.90197266957,2.51567830845,3.90197266957,3.90197266957])",6
91,Somebody paid for this.  It exists.  I am sad. #parkingatpasteiners #carsandcoffee #corvette #tasteless #gross @ Pa… https://t.co/M1CEmfbRCG,0,"[-83.20025346, 42.53280033]","['somebody', 'paid', 'for', 'this.', '', 'it', 'exists.', '', 'i', 'am', 'sad.', '#parkingatpasteiners', '#carsandcoffee', '#corvette', '#tasteless', '#gross', '@', 'pa…', 'https://t.co/m1cemfbrcg']","['somebody', 'paid', 'this.', '', 'exists.', '', 'sad.', '#parkingatpasteiners', '#carsandcoffee', '#corvette', '#tasteless', '#gross', '@', 'pa…', 'https://t.co/m1cemfbrcg']","(1048576,[71858,152065,368579,409400,422810,593730,717503,768383,867081,954343,956625,961845,1005314,1035612],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0])","(1048576,[71858,152065,368579,409400,422810,593730,717503,768383,867081,954343,956625,961845,1005314,1035612],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.91212504104])",6
